"SOMAseqID","TargetFullName","Target","UniProt","EntrezGeneSymbol"
"X10336.3","E3 ubiquitin-protein ligase CHIP","CHIP","Q9UNE7","STUB1"
"X10337.83","CCAAT/enhancer-binding protein beta","CEBPB","P17676","CEBPB"
"X10339.48","Gamma-enolase","NSE","P09104","ENO2"
"X10344.334","Interleukin-10 receptor subunit alpha","IL-10 Ra","Q13651","IL10RA"
"X10346.5","Signal transducer and activator of transcription 3","STAT3","P40763","STAT3"
"X10351.51","Interferon regulatory factor 1","IRF1","P10914","IRF1"
"X10358.33","Induced myeloid leukemia cell differentiation protein Mcl-1","Mcl-1","Q07820","MCL1"
"X10361.25","2'-5'-oligoadenylate synthase 1","OAS1","P00973","OAS1"
"X10362.35","Myc proto-oncogene protein","c-Myc","P01106","MYC"
"X10363.13","Mothers against decapentaplegic homolog 3","SMAD3","P84022","SMAD3"
"X10365.132","Interleukin-23","IL-23","P29460, Q9NPF7","IL12B IL23A"
"X10366.11","Platelet-derived growth factor receptor alpha","PDGFRA","P16234","PDGFRA"
"X10367.62","Interleukin-12","IL-12","P29459,  P29460","IL12A IL12B"
"X10372.18","Signal transducer and activator of transcription 6","STAT6","P42226","STAT6"
"X10990.21","Leucine-rich repeat serine/threonine-protein kinase 2","LRRK2","Q5S007","LRRK2"
"X11067.13","Osteocalcin","Osteocalcin","P02818","BGLAP"
"X11071.1","Interleukin-5","IL-5","P05113","IL5"
"X11081.1","Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic","GPDA","P21695","GPD1"
"X11094.104","Galectin-10","LPPL","Q05315","CLC"
"X11096.57","HemK methyltransferase family member 2","HEMK2","Q9Y5N5","N6AMT1"
"X11098.1","Pyridoxal kinase","PDXK","O00764","PDXK"
"X11101.18","Toll-like receptor 4","TLR4","O00206","TLR4"
"X11103.24","Heat shock protein beta-1","HSP 27","P04792","HSPB1"
"X11104.13","Chitinase-3-like protein 1","YKL-40","P36222","CHI3L1"
"X11510.31","Apolipoprotein L1","Apo L1","O14791","APOL1"
"X11513.92","ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1","CD38","P28907","CD38"
"X11514.196","CD59 glycoprotein","CD59","P13987","CD59"
"X12060.28","Growth/differentiation factor 11","GDF-11","O95390","GDF11"
"X13089.6","Hypoxia-inducible factor 1-alpha","HIF-1a","Q16665","HIF1A"
"X13090.17","Protein S100-A6","S100A6","P06703","S100A6"
"X13093.6","Secreted and transmembrane protein 1","SECTM1","Q8WVN6","SECTM1"
"X13094.75","R-spondin-3","RSPO3","Q9BXY4","RSPO3"
"X13097.11","Bcl-2-like protein 2","Apoptosis regulator Bcl-W","Q92843","BCL2L2"
"X13098.93","Vascular endothelial growth factor D","VEGF-D","O43915","FIGF"
"X13101.60","Sclerostin","SOST","Q9BQB4","SOST"
"X13102.1","Protein FAM3D","FAM3D","Q96BQ1","FAM3D"
"X13103.125","Chorionic somatomammotropin hormone","CSH","P0DML2 P0DML3","CSH1 CSH2"
"X13104.32","Ephrin-B1","EFNB1","P98172","EFNB1"
"X13105.7","Synaptosomal-associated protein 25","SNP25","P60880","SNAP25"
"X13107.9","Ly6/PLAUR domain-containing protein 3","LYPD3","O95274","LYPD3"
"X13111.79","B-cell lymphoma 6 protein","BCL6","P41182","BCL6"
"X13112.179","Follistatin-related protein 1","FSTL1","Q12841","FSTL1"
"X13114.50","Lumican","Lumican","P51884","LUM"
"X13116.25","CD177 antigen","CD177","Q8N6Q3","CD177"
"X13117.232","Choline/ethanolamine kinase","CHKB","Q9Y259","CHKB"
"X13118.5","SPARC-related modular calcium-binding protein 1","SMOC1","Q9H4F8","SMOC1"
"X13119.26","Protein Z-dependent protease inhibitor","protein Z inhibitor","Q9UK55","SERPINA10"
"X13122.19","Leucine-rich repeat transmembrane protein FLRT2","FLRT2","O43155","FLRT2"
"X13123.3","Leucine-rich repeat transmembrane protein FLRT3","FLRT3","Q9NZU0","FLRT3"
"X13124.20","Immunoglobulin superfamily containing leucine-rich repeat protein 2","ISLR2","Q6UXK2","ISLR2"
"X13126.52","Desmocollin-2","DSC2","Q02487","DSC2"
"X13129.40","Low-density lipoprotein receptor","LDLR","P01130","LDLR"
"X13130.150","Hexokinase-2","HXK2","P52789","HK2"
"X13131.5","Hexokinase-1","HXK1","P19367","HK1"
